Measurement ID;7609;Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhCha;AhDch;AhStep;AhAccu;WhAccu;WhCha;WhDch;WhStep;;;;;;;;;;;;
Battery Name;Prototipo_P;[dd/MM/yyyy HH:mm:ss];[];[];[hh:mm:ss];[hh:mm:ss];[];[];[];[V];[A];[AhCha];[AhDch];[AhStep];[Ah];[Wh];[WhCha];[WhDch];[WhStep];;;;;;;;;;;;
Battery Type;PROTOTIPO;18/11/2022 16:17:57;1;...;00:00:00;00:00:00;0;0;EQUALIZACAO_4X_C20;0;0;;;;;;;;;;18/11/2022 19:30:04;AhCha;1,035301;;;;;;;;
Circuit;Circuit021;18/11/2022 16:30:01;2;PAU;00:00:00;00:00:00;0;0;EQUALIZACAO_4X_C20;2,08476;0;;;;;;;;;;;AhDch;4,803771;;;;;;;;
Program;131 - EQUALIZACAO_4X_C20;18/11/2022 16:30:01;2;PAU;00:00:00;00:00:00;0;0;EQUALIZACAO_4X_C20;2,08476;0;0;0;0;0;0;0;0;0;;;Duração;20:13:35;;;;;;;;
Start Time;18/11/2022 16:17:56;18/11/2022 16:30:03;2;PAU;00:00:02;00:00:02;0;0;EQUALIZACAO_4X_C20;2,084871;0;0;0;0;0;0;0;0;0;;20/11/2022 19:43:42;AhCha;8,758895;;;;;;;;
End Time;28/11/2022 15:51:14;18/11/2022 16:30:03;2;PAU;00:00:02;00:00:02;0;0;EQUALIZACAO_4X_C20;2,084871;0;;;;;;;;;;;AhDch;4,721431;;;;;;;;
Test section;ITM_22/111;18/11/2022 16:30:03;3;MSG;00:00:02;00:00:02;0;0;EQUALIZACAO_4X_C20;Set IRange: 4;;;;;;;;;;;;Duração;19:39:37;;;;;;;;
Comment;EQUALIZACAO_4X_C20 (trocou de circuito);18/11/2022 16:30:04;3;CHA;00:00:02;00:00:00;0;0;EQUALIZACAO_4X_C20;2,136015;0;;;;;;;;;;22/11/2022 19:23:23;AhCha;8,012126;;;;;;;;
OrderNo;Am 03 - CBI22-076;18/11/2022 16:30:04;3;CHA;00:00:02;00:00:00;0;0;EQUALIZACAO_4X_C20;2,169592;0,996038;0;0;0;0;0;0;0;0;;;AhDch;4,746208;;;;;;;;
Producer;;18/11/2022 16:45:04;3;CHA;00:15:02;00:15:00;0;0;EQUALIZACAO_4X_C20;2,666905;0,383983;0,12114;0;0,12114;0,12114;0,321904;0,321904;0;0,321904;;;Duração;20:06:21;;;;;;;;
Type;PROTOTIPO;18/11/2022 17:00:04;3;CHA;00:30:02;00:30:00;0;0;EQUALIZACAO_4X_C20;2,666905;0,359689;0,213652;0;0,213652;0,213652;0,568631;0,568631;0;0,568631;;24/11/2022 19:29:47;AhCha;7,599665;;;;;;;;
Nominal Voltage;0;18/11/2022 17:15:04;3;CHA;00:45:02;00:44:59;0;0;EQUALIZACAO_4X_C20;2,666905;0,348643;0,30213;0;0,30213;0,30213;0,804598;0,804598;0;0,804598;;;AhDch;4,718816;;;;;;;;
Nominal Current;0;18/11/2022 17:30:04;3;CHA;01:00:02;01:00:00;0;0;EQUALIZACAO_4X_C20;2,666905;0,341278;0,388417;0;0,388417;0,388417;1,034723;1,034723;0;1,034723;;;Duração;19:53:15;;;;;;;;
Nominal Capacity;4;18/11/2022 17:45:04;3;CHA;01:15:02;01:15:00;0;0;EQUALIZACAO_4X_C20;2,666905;0,33553;0,473033;0;0,473033;0,473033;1,26039;1,26039;0;1,26039;;26/11/2022 19:23:06;AhCha;7,305793;;;;;;;;
Cells;0;18/11/2022 18:00:04;3;CHA;01:30:02;01:29:59;0;0;EQUALIZACAO_4X_C20;2,666905;0,331085;0,556337;0;0,556337;0,556337;1,482558;1,482558;0;1,482558;;;;;;;;;;;;
Maximum Voltage;0;18/11/2022 18:15:04;3;CHA;01:45:02;01:45:00;0;0;EQUALIZACAO_4X_C20;2,666905;0,326953;0,638555;0;0,638555;0,638555;1,70183;1,70183;0;1,70183;;;;;;;;;;;;
Gassing Voltage;0;18/11/2022 18:30:04;3;CHA;02:00:02;02:00:00;0;0;EQUALIZACAO_4X_C20;2,666905;0,322732;0,719736;0;0,719736;0,719736;1,918338;1,918338;0;1,918338;;;;;;;;;;;;
Break Voltage;0;18/11/2022 18:45:04;3;CHA;02:15:02;02:15:00;0;0;EQUALIZACAO_4X_C20;2,667017;0,319005;0,799977;0;0,799977;0,799977;2,132337;2,132337;0;2,132337;;;;;;;;;;;;
